Name,Address,Rating,Types,Place ID,Latitude,Longitude,Search Grid
KSRTC Ticket Booking Centre,"289/2, Begur Road, Royal Meridian Layout, Begur, Bengaluru",3.8,travel_agency; point_of_interest; establishment,ChIJU9badswUrjsR5LG0eQhL9EM,12.8736833,77.6256301,Grid 9
VinInfoTech Solutions,"Second Floor, Tulips Apt, F-22, Begur Road, Begur, Bengaluru",3.4,point_of_interest; establishment,ChIJo1f9W8wUrjsRcpOX-711hWg,12.8762413,77.6262287,Grid 9
BBMP & ASSISTANT REVENUE OFFICER OFFICE,"VJGG+GC3, Begur Road, Classic Paradise Layout, Devarachikkana Halli, Bengaluru",3.3,point_of_interest; establishment,ChIJhay0rswUrjsR56SipcxBkhU,12.8762656,77.6260443,Grid 9
INTENSE INFO SOLUTIONS,"Ground Floor, near begur post office, 214, 1st Cross, Lakshmi Layout, Bengaluru",4,point_of_interest; establishment,ChIJHesX2k5rrjsRnEz9KmsV1SI,12.8697939,77.628916,Grid 9
Bangalore core cutting services,"post office, Vittasandra Main Road, near begur, 208, 1st Cross, Bengaluru",5,point_of_interest; establishment,ChIJbdfxgdFrrjsRvbmpgC9JYZA,12.8697675,77.6277977,Grid 9
Laxmamma K building,"1215, Akshaya Residency, Akshayanagar, Bengaluru",,point_of_interest; establishment,ChIJs17pWgBrrjsRJgpBitXhANc,12.8719089,77.6239265,Grid 9
Mashallah chicken center,"Lakshmi Layout, Begur, Bengaluru",3.4,store; point_of_interest; establishment,ChIJA9GwQwBrrjsRsFSJFsLHOnM,12.8717841,77.6242156,Grid 9
Finch IT Solutions Private Limited,"near Akshaya Vana, 2nd Floor, No S 1, Atharva Square, 1st Cross 3rd B Main, Akshaya Garden, near Akshaya Vana, Bengaluru",4.7,point_of_interest; establishment,ChIJBcabFSkVrjsRly-BAgDVGT8,12.873752,77.6144613,Grid 9
Trailblaze Retail Pvt Ltd (Warehouse),"NO 320, BEGUR VILLAGE, 1st D Cross Road, Akshaya Gardens, Akshayanagar, Bengaluru",1.9,point_of_interest; clothing_store; store; establishment,ChIJ82FLpYgWrjsR3FHkmseDkhQ,12.8744717,77.6137005,Grid 9
Making Concept office,"12/B, 2nd Cross Road, Akshayanagar, Bengaluru",4.1,furniture_store; home_goods_store; point_of_interest; store; establishment,ChIJ_xXn8yxrrjsRCmvvL5tl2Wg,12.8756055,77.615264,Grid 9
Lakeside Sports Centre-Begur,"VJHG+JCM, Vishwapriya Nagar, Begur, Bengaluru",4.2,point_of_interest; establishment,ChIJscvjR8sUrjsRb2-4UIBZtS4,12.8790972,77.6260354,Grid 9
Navodaya PowerTech - Corporate Office,"3rd Floor, 529/30, 20th Cross Road, 1st Block, Vishwapriya Nagar, Begur, Bengaluru",4.9,point_of_interest; establishment,ChIJ-yWaY8kUrjsRg9KDbIM7Byg,12.8813048,77.6314396,Grid 9
FAiZA BUiLDiNG DEMOLiSHERS CONTRACTOR iN BANGALORE,"1283, Police Station, opp. Begur, Begur, Bengaluru",4.9,general_contractor; point_of_interest; establishment,ChIJg7oKqcwUrjsR9q5LmaVww_c,12.8786259,77.624671,Grid 9
DTDC EXPRESS LTD.,"Ground floor, ganesh nilaya, near govt hospital or police station, near Govt Hospital, OR Police Station, 1105/30, Begur Road, Begur, Bengaluru",4.2,point_of_interest; establishment,ChIJI6bmrswUrjsRiHA0u9QoKO0,12.878779,77.6246047,Grid 9
Ases Security Pvt. Ltd. (Bengaluru Office),"Himalaya, # No –18, 2nd Floor, Matadahalli, Further Extensions, R. T. Nagar, Next Building to, Bengaluru",4,point_of_interest; establishment,ChIJq6ra8ssUrjsRtOj7vehbsJw,12.8825739,77.6255552,Grid 9
Universal Pure Water Solutions,"1512, Begur Road, Srinivasa Reddy Layout, Vishwapriya Nagar, Devarachikkana Halli, Bengaluru",4.8,electronics_store; store; point_of_interest; establishment,ChIJWyHJNskUrjsRDib05hHbKkQ,12.8855959,77.6250383,Grid 9
SM Diabetes and Diagnostic centre,"Nithyashree Complex, near indian oil petrol bunk, 289/7, Begur Road, Hongasandra, Bengaluru",3.6,point_of_interest; health; establishment,ChIJsyaLzsgUrjsRC9E4IteglC8,12.8877143,77.6254516,Grid 9
CanFin Homes Ltd,"Abhudya Building, Plot No: 2&4, Devarachikkana Halli Main Road, Bengaluru",2.9,finance; point_of_interest; establishment,ChIJFdt_MMwUrjsRvmVoYi8wvvg,12.8830377,77.6229118,Grid 9
iSAP Solutions Pvt. Ltd.,"8th A Cross Road, Yajaman Layout, Bengaluru",5,point_of_interest; establishment,ChIJ0doAVpkVrjsRgI2JTOBK8lw,12.8808175,77.6216096,Grid 9
"DGlobal Solutions, India","VJH9+QH2, Begur Road, Classic Paradise Layout, Bommanahalli, Bengaluru",4.7,point_of_interest; establishment,ChIJDwg0z8gUrjsROdFkBrboZy8,12.87938,77.618883,Grid 9
Nandini Milk Centre,"18, Devarachikkanahalli Road, 175, Chandrareddy Layout, Bommanahalli, Bengaluru",4.2,store; food; point_of_interest; establishment,ChIJ1cIrztEUrjsRk10gpD9kHFo,12.8859289,77.6184068,Grid 9
Kohinoor Towers,"VJP8+H22, BTM 4th Stage, 2nd Block, Chandrareddy Layout, BDA Layout BTM 4th Stage, Bengaluru",4.3,point_of_interest; establishment,ChIJKRKKl9EUrjsRuxqEu1vHBm8,12.8863914,77.6150148,Grid 9
Crestive Infra Services Pvt. Ltd.,"#1538/C, 3rd Floor, 'Kohinoor Towers 80 Feet Road, 2nd Block, BTM 4th Stage, Bannerghatta Main Road, Bengaluru",5,point_of_interest; establishment,ChIJ56Rx4NAUrjsRgTcFWL7CATg,12.8863785,77.614984,Grid 9
Medqure diagnostic Center,1040 BTM 6th stage Near RTO office Banglore,,doctor; health; point_of_interest; establishment,ChIJ67pHu9YUrjsRiyhxBAt3KlQ,12.8841006,77.6125743,Grid 9
Apollo Diagnostics Centre for Blood Test & Full Body Checkup Bengaluru,"behind Andhra Bank, No:36 & 37, Akshaya Nagar,Nyanappanahalli,Hulimavu-Begur Road Benguluru-560068, behind Andhra Bank, Bengaluru",4,doctor; health; point_of_interest; establishment,ChIJ83imlyxrrjsRrHxtjGB3KeI,12.8764334,77.6133335,Grid 9
Bonanza Portfolio Limited,"VJQC+8X9, 2nd Main Road, Royal Meridian Layout, Devarachikkana Halli, Bengaluru",1.7,finance; point_of_interest; establishment,ChIJlXaMc88UrjsRRHkBGYAD6dg,12.8882806,77.6224905,Grid 9
Lovable Lingerie Ltd (Outerwear Division),"No.9&10, John Avenue Pvt road, off Manipal County Road, Hosur Road, Singasandra, Bengaluru",4.1,clothing_store; store; point_of_interest; establishment,ChIJ9SsxtlNrrjsR90bFxtqUNQI,12.8750754,77.6455263,Grid 10
Yashram Lifestyle Brands Pvt Ltd,"No 7, Revenue Layout, 58/2A2, Singasandra, Bengaluru",3.6,point_of_interest; establishment,ChIJeYmeqxoVrjsRyPH710XbSzI,12.8750173,77.6458182,Grid 10
Hope Foundation Rehabilitation Center,"Sunset view point, Begur, Bengaluru",3.8,health; point_of_interest; establishment,ChIJP8SgLGZrrjsRg-fUrda_hVA,12.8663289,77.6394019,Grid 10
Signwave Technologies,"#303, 4th main, Duo City Layout, Basapura, Bengaluru",4.2,point_of_interest; establishment,ChIJ24lKyb4UrjsRKAUZ5dAqv9g,12.8696252,77.641057,Grid 10
Saad Mashallah Building,"VJCR+M88, MM Layout, AECS C Block, Begur, Bengaluru",5,point_of_interest; establishment,ChIJm_PBSQBrrjsRA1Fs0ZkwV0A,12.8716855,77.6407819,Grid 10
Syed Building,"VJCQ+FR8, AECS C Block, Begur, Bengaluru",,point_of_interest; establishment,ChIJURt6XABrrjsRvchp8kpSu2E,12.8715217,77.6407708,Grid 10
B CUBE RESOLUTION CENTRE,"53, 3rd Cross Road, Wellington Paradise, Begur, Bengaluru",5,point_of_interest; establishment,ChIJxcAuOU1rrjsRok_zyxc61O4,12.8780801,77.6406719,Grid 10
Rehob Technologies,"200, 3rd Main Road, AECS B Block, Singasandra, Bengaluru",4.3,point_of_interest; establishment,ChIJiaXLbM0UrjsR0zIOFNyt2vA,12.8806095,77.6417457,Grid 10
Jobslots Technologies Pvt Ltd,"4th, Floor, Domino's Building, Manipal County Road, Singasandra, Bengaluru",4.4,point_of_interest; establishment,ChIJ864q4rcUrjsRp1TVCN0YL7E,12.8779209,77.638257,Grid 10
Aratt new building,"VJHQ+63F, Lake View County Approach Road, AECS C Block, Begur, Bengaluru",4.1,point_of_interest; establishment,ChIJ6ZK1uUxrrjsRrhgYk1tXyPs,12.8780742,77.6376665,Grid 10
Icam Solutions Pvt. Ltd.,"88/1, Singasandra Gramthana, Off Singasandra, Hosur Road, Aishwarya Crystal Layout, Begur, Bengaluru",4.4,point_of_interest; establishment,ChIJA_L4IFNrrjsR7XUM4-obEQU,12.8780003,77.6451696,Grid 10
iTransmaster Solutions Pvt. Ltd.,"12.877451,77.645127, 14 & 15, National Highway 44, Hal Layout, Singasandra, Bengaluru",3.8,point_of_interest; establishment,ChIJNWr7AlNrrjsRXczhRBRGHZQ,12.8769727,77.6451736,Grid 10
Intuitech Tool Company India (P) ltd,"4, Kupendra, No. 88, Hosur Road, Industrial Layout, Singasandra, Bengaluru",4.7,storage; point_of_interest; establishment,ChIJ9Q-EhaUUrjsR19Kwb0OWFu0,12.8778209,77.6453583,Grid 10
Renovus Vision Automation Pvt. Ltd.,"No13 , Singasandra, Aishwarya Crystal Layout, Begur, Bengaluru",4.8,health; point_of_interest; establishment,ChIJaY3rVM4UrjsRlrCLKtKgv4U,12.877849,77.6456239,Grid 10
Prospect Princeton Apartment,"PROSPECT PRINCETON, Manipal County Road, AECS C Block, Begur, Bengaluru",4.2,point_of_interest; establishment,ChIJr_HCsExrrjsRnQEbFtWtL6o,12.8784018,77.6371771,Grid 10
Energywin Technologies Pvt Ltd,"51/2, Lakshmi Layout Main Road, Chikka Begur, Industrial Layout, Garvebhavi Palya, Bengaluru",3.4,point_of_interest; establishment,ChIJg3jdoKAVrjsRTCCUwcQfA7M,12.8861295,77.6382982,Grid 10
