place_id,name,Latitude,Longitude,address,rating,search_zone,types
ChIJVVVVFbAXrjsRseneNPtyhOc,Health & Glow,12.9823468,77.6457273,"1, 80 Feet Rd, Kalyan Nagar, P N T Colony, R T Nagar, Bengaluru, Karnataka 560032, India",5,Devanahalli,store;point_of_interest;establishment
ChIJTbr6OgB_PzsR2T4EMM5xtvU,Health & Glow Pharmacy Neon,4.2158212,73.5441662,"6G8V+6HF, Chambeylee Magu, Malé, Maldives",5,Bannerghatta,pharmacy;health;store;point_of_interest;establishment
ChIJu8daJuwVrjsRrk4Gts4nIPI,Health & Glow - Forum Falcon City,12.8878116,77.5624365,"Lower Ground Floor-006, Forum Falcon City Mall, Konankunte Cross Uttarhalli Hobli, Exit, opposite to Lulu Hypermarket, Konanakunte, Bengaluru, Karnataka 560062, India",4.9,Sarjapur West,store;point_of_interest;establishment
ChIJlax9Ca1rrjsRtRgpM5fjJF0,Health & Glow - Neeladri Road,12.8408352,77.650595,"Shop No 7, Ganga Enclave, Neeladri Road, 1st Phase, South, near HDFC Bank, Electronic City Phase I, Electronic City, Bengaluru, Karnataka 560100, India",4.9,Sarjapur Main,store;point_of_interest;establishment
ChIJ68gn9thrrjsROzB78RlWXuY,Health & Glow - Akshayanagar,12.876342,77.6159057,"36, DLF Main Rd, Bhagyalakshmi Avenue, Rukmaiah Layout, Akshayanagar, Bengaluru, Karnataka 560068, India",4.8,Sarjapur Main,store;point_of_interest;establishment
ChIJfc9ZuUhtrjsROPZsKOUPkrA,Health & Glow - Ananthnagar,12.8357392,77.6905311,"Shop No 1002, Shred Anantha nagar, Phase 2, Kammasandra Village Hebbagodi Grama Panchayath, Attibele, Bengaluru, Karnataka 560100, India",4.8,Sarjapur Main,store;point_of_interest;establishment
ChIJt0p-eHIVrjsRHe1iw4JRaHw,Health & Glow - Basavanagudi,12.944312,77.5709993,"Before Peter England Shop, Shop No 142 and 143, GR Plaza, Dr DVG Road, South, near JR Plaza, Basavanagudi, Bengaluru, Karnataka 560004, India",4.8,Majestic/City Market,point_of_interest;store;establishment
ChIJNaX4lzE9rjsREqLxwRPPX5o,Health & Glow - Basaveshwara Nagar New,12.9931626,77.539036,"Plot No 738/B, West, opposite to Manyawar, near to Post Office, 3rd Block, 3rd Stage, Basaveshwar Nagar, Bengaluru, Karnataka 560079, India",4.8,Majestic/City Market,point_of_interest;store;establishment
ChIJt9HGxXIVrjsRuWF6Tun2hMc,Health & Glow - BTM Layout,12.9126209,77.6063893,"Shop No 425/426, 7th Cross, 8th Main, BTM Layout, MICO Employees Gruha Nirmana Sanga Layout, opposite to IWWA Building, South, Bengaluru, Karnataka 560076, India",4.8,MG Road/Brigade Road,store;point_of_interest;establishment
ChIJcdnWx0cXrjsRY5LExRo68KY,Health & Glow - Commercial Street,12.9826974,77.6070635,"No. 73/1, Upper Ground Floor, Commercial Street, opposite to Max, Corporation Division 54, Tasker Town, Shivaji Nagar, Bengaluru, Karnataka 560001, India",4.8,Majestic/City Market,point_of_interest;store;establishment
ChIJPcxRADI-rjsRec4Z9Qz7GEY,Health & Glow - Katriguppe,12.9252933,77.5505305,"Third Phase, Shop No 12, Maruthi Arcade, Outer Ring Road, South, opposite to Max, Banashankari 3rd Stage, Bengaluru, Karnataka 560085, India",4.8,Majestic/City Market,point_of_interest;store;establishment
ChIJ-46Y30c_rjsRDO_6Gw6zpp0,Health & Glow - Kengeri,12.9259491,77.4856432,"Shop No 34, Ground Floor, 1st Main Rd, near Hoysala Circle, Valagerahalli, Subash Nagar, Kengeri Satellite Town, Bengaluru, Karnataka 560060, India",4.8,Nelmangala,point_of_interest;store;establishment
ChIJ67zNsrYVrjsR3Th3OvLXfZo,Health & Glow - Kormangala 5th Block,12.9369193,77.6200188,"No148 sri manju complex, 60 Feet Rd, 5th Block, Koramangala, Bengaluru, Karnataka 560034, India",4.8,Majestic/City Market,point_of_interest;store;establishment
ChIJ0WhOo-ERrjsR3aNxZidogdQ,Health & Glow - Phoenix Marketcity Mall,12.9970379,77.6966162,"BBMP Office, Phoenix Market CIty, First Floor, Phoenix Marketcity Mall, Block No F 61, Whitefield Road, North, opposite to Mahadevapura, Singayyanapalya, Bengaluru, Karnataka 560048, India",4.8,Sarjapur Main,store;point_of_interest;establishment
ChIJFTVxrNs_rjsRg9wKYLIeKdI,Health & Glow - Rajarajeshwarinagar,12.917066,77.5203565,"Block No 1130, West, BEML Layout, Rajarajeshwari Nagar, Bengaluru, Karnataka 560098, India",4.8,Jigani,store;point_of_interest;establishment
ChIJGQXTbFwTrjsR1iOjBN81YAY,Health & Glow -Bellandur,12.9268119,77.6696949,"206, Palm Ave, Green Glen Layout, Bellandur, Bengaluru, Karnataka 560103, India",4.8,Sarjapur Main,store;point_of_interest;establishment
ChIJTbMHHbYVrjsRUF_Sa3DHkPQ,Health & Glow Pvt. Ltd.,12.8827117,77.6466338,"Sy No. 15/8, opposite to AECS Layout, Singasandra, Bengaluru, Karnataka 560068, India",4.8,MG Road/Brigade Road,store;point_of_interest;establishment
ChIJ2wyC4i8XrjsRp9tJvZUffDc,Health & Glow - Commercial street,12.9814737,77.6101546,"old #1) lower ground floor, western portion, Health & Glow Municipal #184, Commercial Street, below Liberty silks, Shivaji Nagar, Bengaluru, Karnataka 560001, India",4.7,Majestic/City Market,point_of_interest;store;establishment
ChIJFa9IMKptrjsRoXk7vZBJ8sE,Health & Glow - Infosys Campus,12.8480885,77.666924,"Shop No 44, Building, 47, Hosur Rd, Electronic City Phase I, Electronic City, Bengaluru, Karnataka 560100, India",4.7,Sarjapur Main,store;point_of_interest;establishment
ChIJycQz4pgVrjsRmxUKawr8GA0,Health & Glow - Jayanagar 4th Block,12.9288754,77.5823833,"Shop No, 121/A, 7th B Main Rd, near Maiyas Beverages And Foods Private Limited, 4th Block, Jayanagar, Bengaluru, Karnataka 560041, India",4.7,Majestic/City Market,point_of_interest;store;establishment
ChIJnzhla8IVrjsRsTXhwqvMAak,Health & Glow - Jayanagar 5th Block,12.9194169,77.5835008,"Shop No 427/14, 41st Cross, 9th Cross, South, next to Udupi Hotel, opposite to LG Showroom, 5th Block, Jayanagar, Bengaluru, Karnataka 560041, India",4.7,Dommasandra,point_of_interest;store;establishment
ChIJd31sVmcXrjsRbgSJWa9g6DM,Health & Glow - Kammanahalli,13.0230363,77.6371043,"No. 59/1, 4th Cross, Chikkamuniyappa, Kevin Reddy Rd, next to Burger King, Kacharakanahalli, Bengaluru, Karnataka 560084, India",4.7,MG Road/Brigade Road,store;point_of_interest;establishment
ChIJVeCEpoE-rjsRQ5fohhWC73w,Health & Glow - Nagarbhavi,12.96069,77.5122532,"Shop No 13, Sl No 21, NGEF layout, 80 Feet Main Road, Nagarbavi Hobli, West, above HDFC Bank, NGEF Layout, Stage 2, Yeswanthpur, Bengaluru, Karnataka 560072, India",4.7,Nelmangala,point_of_interest;store;establishment
ChIJvxU9j00UrjsRRNrY-Q1nvXc,Health & Glow - Nexus Mall,12.9345378,77.6093251,"Plot No 133, 1st Floor, Nexus Mall, Hosur Road, South, near Flying Machine, Koramangala, Bengaluru, Karnataka 560095, India",4.7,Majestic/City Market,point_of_interest;store;establishment
ChIJwzPShVMRrjsRRznLYI8c2K0,Health & Glow - Nexus Shantiniketan Mall,12.98949,77.6580531,"Plot No 03, Lower Ground Floor, Nexus Shantiniketan Mall Whitefield Main Road, North, opposite Manipal Hospital, Bengaluru, Karnataka 560066, India",4.7,Banaswadi,store;point_of_interest;establishment
