store_code,Latitude,Longitude,radius,beauty_supply_count,cosmetics_count,brands_count,quick_commerce_count,total_competitors,place_id,competitor_name,competitor_lat,competitor_lng,competitor_distance,competitor_address,competitor_types,competitor_rating,competitor_category,competitor_type
Manual-1,12.91549886,77.62343911,2000,5,7,7,5,24,ChIJoaz8XbYVrjsRs0wExqZvozc,Surabhi Beauty Parlour | Hair and Beauty Salon | Trendy & Stylish Hairdressing & Beautician,12.9174218,77.617751,653,"231/A, VP Rd, opposite to Adishakti Mariamma Temple, near Vandana bakery, Old Madiwala, Dollar Scheme Colony, 1st Stage, BTM Layout, Bengaluru, Karnataka 560068, India","beauty_salon, spa, hair_care, point_of_interest, establishment",4.7,Beauty brand,brand
Manual-1,12.91549886,77.62343911,2000,5,7,7,5,24,ChIJwTxwbjEVrjsRS9_p-cTIaFE,RAY BEAUTY STUDIO,12.9097278,77.6326297,1186,"921, 5th Main Rd, 7th Sector, HSR Layout, Bengaluru, Karnataka 560102, India","beauty_salon, point_of_interest, establishment",4.4,Beauty supply store,beauty
Manual-1,12.91549886,77.62343911,2000,5,7,7,5,24,ChIJ-aj-lbkVrjsRTSA8AvcrPK4,De-Stress Luxury Spa in Madiwala,12.9230212,77.6143641,1293,"#1202, 1203, Maruthi Nagar Main Rd, Zuzuvadi, Madiwala, 1st Stage, BTM Layout, Bengaluru, Karnataka 560068, India","spa, health, point_of_interest, establishment",4.5,Beauty supply store,beauty
Manual-1,12.91549886,77.62343911,2000,5,7,7,5,24,ChIJk1lYywQVrjsRCGRlU7PnPHs,Beauty&Beyond(Darkstore)-HSR,12.9077571,77.632438,1302,"Khata no 470, Ground floor, No. 147, 5th Main Rd, Rajiv Gandhi Nagar, 7th Sector, HSR Layout, Bengaluru, Karnataka 560068, India","store, point_of_interest, establishment",5,Beauty brand,brand
Manual-1,12.91549886,77.62343911,2000,5,7,7,5,24,ChIJMSUPy6MVrjsR11OzRy3iEjI,Aqua Beauty Stores,12.9042397,77.6280416,1349,"Shop no 8A sri maheshwaramma Temple street, 1st Cross Rd, Bommanahalli, Bengaluru, Karnataka 560068, India","store, point_of_interest, establishment",4.3,Cosmetics store,cosmetics
Manual-1,12.91549886,77.62343911,2000,5,7,7,5,24,ChIJYZic9EgVrjsRfBHzqBJB_28,Lakshmi Krishna Naturals,12.9106311,77.6350409,1371,"996, 9th Main Rd, 7th Sector, HSR Layout, Bengaluru, Karnataka 560102, India","store, point_of_interest, establishment",4.3,Cosmetics store,cosmetics
Manual-1,12.91549886,77.62343911,2000,5,7,7,5,24,ChIJp6qqqh0VrjsRwSoxm5jFCZ4,Lakme Salon,12.9156039,77.6102333,1433,"No 935, Restaurant, Sri Arcade, near UDUPI GARDEN, BTM 2nd Stage, Kuvempu Nagar, BTM 2nd Stage, BTM Layout, Bengaluru, Karnataka 560076, India","beauty_salon, point_of_interest, establishment",4.6,Beauty brand,brand
Manual-1,12.91549886,77.62343911,2000,5,7,7,5,24,ChIJ26cncwAVrjsR_FRCfmiFS1o,Big basket now jakkasandra,12.9219356,77.6366484,1602,"ELVEEGO Circuits Pvt Ltd, Teacher's Colony, Jakkasandra, 1st Block Koramangala, HSR Layout 5th Sector, Bengaluru, Karnataka 560034, India","food, point_of_interest, establishment",0,Quick commerce,quick
Manual-1,12.91549886,77.62343911,2000,5,7,7,5,24,ChIJOU7cHQAVrjsRc7FCpTnsYDA,SHOPPERS STOP WAREHOUSE,12.9011298,77.6215068,1613,"WJ2C+FJ2, Kodichikkanahalli Main Rd, Kodichikknahalli, Seenappa Layout, Bommanahalli, Bengaluru, Karnataka 560068, India","storage, point_of_interest, establishment",2.3,Beauty brand,brand
Manual-1,12.91549886,77.62343911,2000,5,7,7,5,24,ChIJDeeLwpEUrjsR8v8YfJPtIvM,Health & Glow -HSR Layout 14th Main,12.9119154,77.6379202,1621,"36, Sector 7,14th Main Rd, 80th Feet Rd, HSR Layout, Bengaluru, Karnataka 560102, India","store, point_of_interest, establishment",4.5,Cosmetics store,cosmetics
