Locationcode,LocationName,StoreLocationPinCode,ServiceablePinCode
53,HG-KAMANAHALLI-BLR ,560084,560045
53,HG-KAMANAHALLI-BLR,560084,560043
53,HG-KAMANAHALLI-BLR,560084,560084
53,HG-KAMANAHALLI-BLR,560084,560005
53,HG-KAMANAHALLI-BLR,560084,560046
53,HG-KAMANAHALLI-BLR,560084,560016
53,HG-KAMANAHALLI-BLR,560084,560113
403,HG-IND 12TH MAIN-BLR,560038,560093
403,HG-IND 12TH MAIN-BLR,560038,560008
403,HG-IND 12TH MAIN-BLR,560038,560007
403,HG-IND 12TH MAIN-BLR,560038,560075
403,HG-IND 12TH MAIN-BLR,560038,560038
403,HG-IND 12TH MAIN-BLR,560038,560017
403,HG-IND 12TH MAIN-BLR,560038,566093
106,HG-HSR LAYOUT 27TH MAIN-BLR,560102,560068
106,HG-HSR LAYOUT 27TH MAIN-BLR,560102,560102
106,HG-HSR LAYOUT 27TH MAIN-BLR,560102,560103
106,HG-HSR LAYOUT 27TH MAIN-BLR,560102,560035
131,HG-PUTTENAHALLI-BLR,560078,560076
131,HG-PUTTENAHALLI-BLR,560078,560078
131,HG-PUTTENAHALLI-BLR,560078,560062
131,HG-PUTTENAHALLI-BLR,560078,560111
169,HG-NAGARBHAVI-BLR,560072,560104
169,HG-CHANDRALAYOUT-BLR,560072,560079
169,HG-CHANDRALAYOUT-BLR,560072,560056
169,HG-CHANDRALAYOUT-BLR,560072,560026
169,HG-CHANDRALAYOUT-BLR,560072,560072
169,HG-CHANDRALAYOUT-BLR,560072,560040
169,HG-CHANDRALAYOUT-BLR,560072,560110
114,HG-BANASHANKARI-BLR,560070,560061
114,HG-KATRIGUPPE-BLR,560070,560050
114,HG-KATRIGUPPE-BLR,560070,560070
114,HG-KATRIGUPPE-BLR,560070,560085
114,HG-KATRIGUPPE-BLR,560070,560018
114,HG-KATRIGUPPE-BLR,560070,560098
114,HG-KATRIGUPPE-BLR,560070,560004
235,HG-MS RAMAIAH ROAD-BLR,560054,560024
235,HG-MS RAMAIAH ROAD-BLR,560054,560094
235,HG-MS RAMAIAH ROAD-BLR,560054,560006
235,HG-MS RAMAIAH ROAD-BLR,560054,560012
235,HG-MS RAMAIAH ROAD-BLR,560054,560032
235,HG-MS RAMAIAH ROAD-BLR,560054,560054
235,HG-MS RAMAIAH ROAD-BLR,560054,560036
235,HG-MS RAMAIAH ROAD-BLR,560054,560092
235,HG-MS RAMAIAH ROAD-BLR,560054,560022
252,HG-AECS LAYOUT-BLR,560037,560037
252,HG-AECS LAYOUT-BLR,560037,560087
252,HG-AECS LAYOUT-BLR,560037,560066
252,HG-AECS LAYOUT-BLR,560037,560048
261,HG-KORAMANGALA 5TH BLK-BLR,560034,560025
261,HG-KORAMANGALA 5TH BLK-BLR,560034,560095
261,HG-KORAMANGALA 5TH BLK-BLR,560034,560034
261,HG-KORAMANGALA 5TH BLK-BLR,560034,560047
261,HG-KORAMANGALA 5TH BLK-BLR,560034,560029
261,HG-KORAMANGALA 5TH BLK-BLR,560034,562130
261,HG-KORAMANGALA 5TH BLK-BLR,560034,560030
296,HG-NEELADRI ROAD-BLR,560100,560100
296,HG-NEELADRI ROAD-BLR,560100,560105
20,HG-MALLESWARAM-BLR,560033,560003
20,HG-MALLESWARAM-BLR,560033,560020
20,HG-MALLESWARAM-BLR,560033,560055
59,HG-RAJAJI NAGAR-BLR,560010,560010
59,HG-RAJAJI NAGAR-BLR,560010,560021
59,HG-RAJAJI NAGAR-BLR,560010,560023
277,HG-BSV NAGAR II-BLR,560079,560058
277,HG-BSV NAGAR II-BLR,560079,560086
277,HG-BSV NAGAR II-BLR,560079,560096
141,HG-COMML ST IV-BLR,560001,560001
141,HG-COMML ST IV-BLR,560001,560002
141,HG-COMML ST IV-BLR,560001,560009
141,HG-COMML ST IV-BLR,560001,560027
141,HG-COMML ST IV-BLR,560001,560042
150,HG-VIDYARANYPURA-BLR,560097,560013
150,HG-VIDYARANYPURA-BLR,560097,560097
150,HG-VIDYARANYPURA-BLR,560097,560064
150,HG-VIDYARANYPURA-BLR,560097,560065
198,HG-KOTHANUR-BLR,560077,560077
198,HG-KOTHANUR-BLR,560077,562157
226,HG-JAYANAGAR 3RD BLK-BLR,560011,560011
226,HG-JAYANAGAR 3RD BLK-BLR,560011,560041
286,HG-DVG ROAD NEW-BLR,560004,560053
421,HG-KENGERI 1-BLR,560060,560059
421,HG-KENGERI 1-BLR,560060,560060
299,HG-AKSHAYANAGAR-BLR,560068,560114
